ID,Type,Eyes,Accessory,Headwear
0,Human,Purple Shadow,Freckles,
1,Human,3D Nogs,Hot Lips,Wild
2,Human,Blue Shadow,,Wif
3,Human,Big Specs,Beard,Dark Hawk
4,Human,Infinity Specs,Hot Lips,Forward Cap
5,Human,Nerd Specs,Beauty Mark,Knit Cap
6,Human,Mask,Smoke,Purple Cut
7,Human,Slim Specs,Smoke,Band
8,Human,Green Laser,Hot Lips,Band
9,Human,,Stache,Cop Cap
10,Human,Mask,Vapor,Short Blond
11,Human,Classic Specs,Stache,
12,Human,3D Specs,Beauty Mark,Band
13,Human,Nogs,Chops,Frumpy
14,Zombie,,,Nyan
15,Human,,Dark Beard,Pilot
16,Human,3D Specs,Smoke,Band
17,Human,Green Shadow,Grin,Cop Cap
18,Frog,Nogs,,Fedora
19,Human,3D Specs,Purple Lips,Spike
20,Human,Green Laser,Beard,Thin Hawk
21,Human,Blue Laser,Stud,Red Hawk
22,Human,Nogs,,Thin Hawk
23,Human,Green Shadow,Vapor,Wild Blond
24,Human,,Dark Beard,Basic Cap
25,Human,Purple Shadow,Dark Beard,
26,Human,3D Nogs,Dark Beard,Durag
27,Frog,Blue Laser,Smoke,Red Hawk
28,Human,Nogs,Stud,Purple Cut
29,Human,Alpha Kid,Vapor,Purple Cut
30,Human,Big Specs,Sad Face,Thin Hawk
31,Human,Nerd Specs,Pipe,Band
32,Human,Nerd Specs,Beauty Mark,Knit Cap
33,Human,Nerd Specs,Black Lips,Degen
34,Frog,Slim Specs,Beauty Mark,Knit Cap
35,Human,3D Specs,Pipe,Topper
36,Ape,Nogs,Smoke,Cowboy
37,Human,Nogs,Beard,White Wild
38,Human,Infinity Specs,Grin,Band
39,Human,,Chops,Topper
40,Human,Blue Shadow,Black Lips,
41,Human,,Chops,
42,Human,Classic Specs,Hot Lips,Messy
43,Human,VR,Stud,Hawk
44,Human,Blue Laser,Hot Lips,Red Hawk
45,Human,,Beard,Dark Hawk
46,Human,VR,,Wif
47,Human,Slim Specs,Smoke,Bandana
48,Human,,Stud,Degen
49,Human,Green Shadow,Pipe,Wild Blond
50,Human,Big Specs,,Spike
51,Human,Infinity Specs,Hot Lips,Beanie
52,Human,3D Nogs,Handlebar,Short Blond
53,Human,Slim Specs,Stache,Wild
54,Human,,,Cop Cap
55,Frog,Purple Shadow,,Bandana
56,Frog,,Hot Lips,Short Blond
57,Human,Alpha Kid,,
58,Human,Patch,Dark Beard,Wild
59,Human,Vipers,,Weld Goggles
60,Ape,,,Short Blond
61,Human,Nogs,Smoke,Pigtails
62,Human,Patch,Stache,Forward Cap
63,Human,Mask,Grin,Frumpy
64,Human,3D Specs,Purple Lips,
65,Frog,Slim Specs,Red Nose,White Wild
66,Human,Classic Specs,Dark Beard,Band
67,Human,3D Nogs,Purple Lips,Hawk
68,Frog,Mask,,Cowboy
69,Human,Mask,Beauty Mark,Hawk
70,Frog,Green Shadow,Hot Lips,Forward Cap
71,Human,Red Laser,,Basic Cap
72,Human,Vipers,Handlebar,Fedora
73,Human,Green Shadow,,Wild
74,Human,,Chops,Green Clown Hair
75,Human,Nogs,Pipe,Spike
76,Human,Purple Shadow,Grin,Spike
77,Human,Nerd Specs,Vapor,Green Clown Hair
78,Human,Classic Specs,Beauty Mark,Cowboy
79,Human,3D Specs,Stud,White Wild
80,Human,Alpha Kid,Smoke,
81,Human,Green Shadow,Stache,
82,Human,Blue Clown,Dark Beard,Green Clown Hair
